DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Fossil Gas	1.0		2022-03-02 03:18:17
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Biomass	30.0		2022-03-01 03:05:43
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Hydro Pumped Storage	0.0		2022-03-01 03:05:43
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Hydro Run-of-river and poundage	508.0		2022-03-01 09:03:44
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Fossil Brown coal/Lignite	2678.0		2022-03-01 07:03:44
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Hydro Water Reservoir	0.0		2022-03-01 03:05:43
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTA	RS CTA	RS	Other	136.0		2022-03-02 03:18:13
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Fossil Brown coal/Lignite	2678.0		2022-03-01 07:03:50
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Hydro Water Reservoir	0.0		2022-03-01 03:05:52
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Water Reservoir	0.0		2022-03-01 03:05:52
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Other	136.0		2022-03-02 03:19:31
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Run-of-river and poundage	508.0		2022-03-01 09:03:46
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Biomass	30.0		2022-03-01 03:05:53
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Hydro Run-of-river and poundage	508.0		2022-03-01 09:03:45
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Other	136.0		2022-03-02 03:19:30
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Fossil Brown coal/Lignite	2678.0		2022-03-01 07:03:55
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Biomass	30.0		2022-03-01 03:05:54
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Hydro Pumped Storage	0.0		2022-03-01 03:05:54
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	Fossil Gas	1.0		2022-03-02 03:18:54
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Fossil Gas	1.0		2022-03-02 03:19:08
2022-03-01 00:00:00.000	PT60M	10YCS-SERBIATSOV	CTY	RS CTY	RS	Hydro Pumped Storage	0.0		2022-03-01 03:05:55
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Solar	0.0		2022-03-01 03:06:05
2022-03-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Solar	0.0		2022-03-01 03:06:06
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Solar	0.0		2022-03-01 03:06:06
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Waste	284.44		2022-03-05 16:10:44
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Hydro Pumped Storage		845.56	2022-03-05 16:11:06
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Hydro Run-of-river and poundage	6.5		2022-03-01 03:06:07
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Biomass	98.07		2022-03-05 16:10:53
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTA	BE CTA	BE	Nuclear	4950.47		2022-03-05 16:10:58
2022-03-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Biomass	98.07		2022-03-04 16:17:31
2022-03-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Waste	284.44		2022-03-04 16:16:34
